title,author
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk
Letters to a Young Poet,Rainer Maria Rilke
A Life in Letters,George Orwell
A Clockwork Orange,Anthony Burgess
The White Album,Joan Didion
Nettle & Bone,T. Kingfisher
Penance,Eliza Clark
How High We Go In the Dark,Sequoia Nagamatsu
Are You Listening?,Tillie Walden
The Great Gatsby,F. Scott Fitzgerald
Nails and Eyes,Kaori Fujino
The Maids,Junichiro Tanizaki
Yellowface,R.F. Kuang
The Death and Life of Great American Cities,Jane Jacobs
Swann’s Way,Marcel Proust
Letters to Eugène,Hervé Guibert & Eugène Savitzkaya
Funny Weather: Art in an Emergency,Olivia Laing
Seven Empty Houses,Samanta Schweblin
A Horse at Night,Amina Cain
The Houseguest,Amparo Dávila
Ten Arguments for Deleting Your Social Media Right Now,Jaron Lanier
Nausea,Jean-Paul Sartre
The Blue Castle,L.M. Montgomery
after the quake,Haruki Murakami
A Day of Fallen Night,Samantha Shannon
On Writing,Stephen King
Kafka Was the Rage,Anatole Broyard
Letters to a Young Poet,Rainer Maria Rilke
"Astral Season, Beastly Season",Tahi Saihate
The Factory,Hiroko Oyamada
"Idol, Burning",Rin Usami
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
Neuromancer,William Gibson
Welcome to the Hyunam-Dong Bookshop,Huang Bo-Reum
The Dog of the South,Charles Portis
Kafka Was the Rage,Anatole Broyard
Love Letters: Virginia Woolf and Vita Sackville-West,
Constance Fenimore Woolson: Portrait of a Lady Novelist,Anne Boyd Rioux
The Wheel of Things: A Biography of Lucy Maud Montgomery,Mollie Gillen
Our Village,Mary Mitford
Cheap Old Houses,Elizabeth & Ethan Finkelstein
Serious Concerns,Wendy Cope
Letters to His Neighbour,Marcel Proust
The Between,Tananarive Due
Out,Natsuo Kirino
Intensity,Dean Koontz
Fairy Tale,Stephen King
1Q84,Haruki Murakami
The Goldfinch,Donna Tartt
Annihilation,Jeff VanderMeer
Lord of the Rings,J.R.R. Tolkien
Solaris,Stanislaw Lem
Master and Margarita,Mikhail Bulgakov
House of Leaves,Mark Z. Danielewski
A Prayer for Owen Meany,John Irving
2001: A Space Odyssey,Arthur C. Clarke
We,Yevgeny Zamyatin
F*ckface,Leah Hampton
Dead Astronauts,Jeff VanderMeer
An Embarrassment of Witches,Sophie Goldstein
Taproot,Keezy Young
Practical Magic,Alice Hoffman
Among Others,Jo Walton
Snow Country,Yasunari Kawabata
The Makioka Sisters,Junichiro Tanizaki
Love Poems,Pablo Neruda
Emily of New Moon,L.M. Montgomery
The Witches,Roald Dahl
Climbing a Monkey Puzzle Tree,Karen Wallace
Never Let Me Go,Kazuo Ishiguro
Every Heart a Doorway,Seanan McGuire
We Have Always Lived in the Castle,Shirley Jackson
A Psalm for the Wild-Built,Becky Chambers
"Briefly, a Delicious Life",Nell Stevens
Oubliette Hannah Godfrey,
Motherthing,Ainslie Hogarth
Bad Cree,Jessica Johns
Anne of Green Gables,L.M. Montgomery (hardcover set published
Anne Dares,Kallie George and Abigail Halpin 
We Were Dreamers,Simu Liu
Ariel,Sylvia Plath
Slouching Towards Bethlehem,Joan Didion
Serious Concerns,Wendy Cope
Out,Natsuo Kirino
The Between,Tananarive Due
Misery,Stephen King
Fleabag: The Scriptures,Phoebe Waller-Bridge
Motherthing,Ainslie Hogarth
All the Lovers in the Night,Hiromi Kawakami
Rouge,Mona Awad
Mamo,Sas Milledge
Trick Mirror,Jia Tolentino
Ariel,Sylvia Plath
Rebecca,Daphne du Maurier
"(Reading Confessions Episode, no books mentioned!)",
Mamo,Sas Milledge
Please Look After Mom,Kyung-Sook Shin
Doughnuts and Doom,Balazs Lorinczi
Lunch Poems,Frank O’Hara
If It Bleeds,Stephen King
The Trial,Franz Kafka
Rebecca,Daphne du Maurier
84 Charing Cross Road,Helene Hanff
Happiness Falls,Angie Kim
The Skull,Jon Klassen
If It Bleeds,Stephen King
A Guest in the House,Emily Carroll
Doughnuts of Doom,Balazs Lorinczi
"Full Dark, No Stars",Stephen King
Under the Dome,Stephen King
Doctor Sleep,Stephen King
Lights,Brenna Thummler
Please Do Not Touch this Exhibit,Jen Campbell
The Stranger Upstairs,Lisa M. Matlin
Amy & Roger’s Epic Detour,Morgan Matson
Swimming in the Dark,Tomasz Jedrowski
Letters to a Young Poet,Rainer Maria Rilke
A Guest in the House,Emily Carroll
The End of August,Yu Miri
Adverbs,Daniel Handler
"Art, Wealth and Riches",William Morris
How to Be Invisible,Kate Bush
The Elements of Style,"William Strunk Jr. and E.B. White, Illustrated"
VenCo,Cherie Dimaline
The Skull,Jon Klassen
Diary of a Void,Emily Yagi
84 Charing Cross Road,Helene Hanff
My Body,Emily Ratajkowski
Happiness Falls,Angie Kim
Blade of the Moon Princess Vol. 1,Tatsuya Endo
The Mandalorian: the Manga Vol. 1,Yusuke Osawa
How Should A Person Be? By Sheila Heti,
Motherhood,Sheila Heti
Sheets,Brenna Thummler
Ballad for Sophie,Filipe Melo and Juan Cavia
Pod,Laline Paull
The Bees,Laline Paull
The Ice,Laline Paull
The Body Snatchers,Jack Finney
1922,Stephen King
"Full Dark, No Stars",Stephen King
Cycle of the Werewolf,Stephen King
Happiness Falls,Angie Kim
Holly,Stephen King
Diary of a Void,Emi Yagi 
Dopamine Nation,Anna Lembke
Diary of a Void,Emi Yagi
Breasts and Eggs,Mieko Kawakami
Happy Place,Emily Henry
Catboy,Benji Nate
Cycle of the Werewolf,Stephen King
1922,Stephen King
The Body Snatchers,Jack Finney
The Goodbye Cat,Hero Arikawa
Albatross,Terry Fallis
A New Season,Terry Fallis
Poles Apart,Terry Fallis
Dopamine Nation,Anna Lembke
Breasts and Eggs,Mieko Kawakami
Taste,Stanley Tucci
Oryx and Crake,Margaret Atwood
"Astral Season, Beastly Season",Tahi Saihate
Only Child,Rhiannon Navin
Fangirl Volume 3: The Manga,Rainbow Rowell and Gabi Nam
She and Her Cat,Makoto Shinkai and Naruki Nagakawa
The Great Gatsby (A Graphic Novel Adaptation),K. Woodman-Maynard
Swimming in the Dark,Tomasz Jedrowski
Nothing to See Here,Kevin Wilson
How to Live Safely in a Science Fictional Universe,Charles Yu
What My Bones Know,Stephanie Foo
Happy Place,Emily Henry
Taste,Stanley Tucci
Oryx and Crake,Margaret Atwood
Concerning My Daughter,Kim Hye-Jin
Breasts and Eggs,Mieko Kawakami
Untold Night and Day,Bae Suah (translated
Truth Telling: Seven Conversations About Indigenous Life in Canada,Michelle Good
Halfbreed,Maria Campbell
Bonjour Tristesse,Francoise Sagan (translated
The Laws of the Skies,Gregoire Courtois (translated
The Year of Magical Thinking,Joan Didion
Garlic and Sapphire: The Secret Life of a Critic in Disguise,Ruth Reichl
Taste: My Life Through Food,Stanley Tucci
Travels with Charley: In Search of America,John Steinbeck
My Own Two Feet,Beverly Cleary
Sharks in the Time of Saviors,Kawai Strong Washburn
Valley of the Dolls,Jacqueline Susann
Ghosts,Dolly Alderton
Happy Hour,Marlowe Granados
Untold Night and Day,Bae Suah
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain
Rental Person Who Does Nothing,Shoji Morimoto (translated
The Year of Magical Thinking,Joan Didion
Boy's Life,Robert R. McCammon
Travels with Charley: In Search of America,John Steinbeck
Swimming Studies,Leanne Shapton
Unwind,Neal Shusterman
Tracks: A Woman's Solo Trek across 1700 Miles of Australian Outback,Robyn Davidson
Blood Red Road,Moira Young
A Psalm for the Wild-Built,Becky Chambers
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed
The Girl Who Loved Tom Gordon,Stephen King
Sourdough,Robin Sloan
The Dishwasher,Stéphane Larue
Bonjour Tristesse,Françoise Sagan
Pirate Latitudes,Michael Crichton
Gone Girl,Gillian Flynn
An Absolutely Remarkable Thing,Hank Green
Darlah (172 Hours On The Moon),Johan Harstad
The Hole,Hiroko Oyamada
The Makioka Sisters,Jun'ichirō Tanizaki
Girl Juice,Benji Nate
Honeybees and Distant Thunder,Riku Onda (translated
Days at the Morisaki Bookshop,Satoshi Yagisawa (translated
The Sherlock Holmes Bind Up (Penguin Deluxe Classics),Arthur Conan Doyle
The Art of Fielding,Chad Harbach
